MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID
1993 / 11,Manhattan,01,625.2,119.4,34.4,,,,,1
1992 / 03,Manhattan,01,726.0,,,,,,,1
1995 / 08,Manhattan,01,627.5,82.4,35.6,,,,,1
1991 / 08,Manhattan,01,695.1,,,,,,,1
1995 / 09,Manhattan,01,633.1,117.2,45.8,,,,,1
1996 / 04,Brooklyn,07,3478.8,279.2,301.6,,,,,3
2007 / 08,Brooklyn,07,3648.4,515.4,400.7,,,,,3
2012 / 01,Brooklyn,07,3156.7,436.6,343.4,,,,20.1,3
2003 / 11,Brooklyn,07,3729.5,,,,,,,3
2004 / 08,Brooklyn,07,3695.6,496.6,443.7,,,,,3
2005 / 02,Brooklyn,07,2913.9,520.6,382.9,,,,,3
2002 / 01,Brooklyn,07,3191.7,10.5,568.8,,,,23.1,3
1993 / 08,Brooklyn,07,3087.7,273.0,269.4,,,,,3
2007 / 01,Brooklyn,07,3339.9,582.2,391.8,,,,22.1,3
2013 / 10,Brooklyn,07,3341.4,414.6,319.1,38.2,,,,3
2013 / 11,Brooklyn,07,3179.2,398.7,318.3,57.5,,,,3
2002 / 09,Brooklyn,07,3826.1,,,,,,,3
2008 / 04,Brooklyn,07,3351.0,510.2,349.0,,,,,3
2003 / 05,Brooklyn,07,4112.4,,,,,,,3
2003 / 03,Brooklyn,07,3696.1,40.2,,,,,,3
2008 / 11,Brooklyn,07,3106.8,437.4,308.7,,,,,3
2003 / 07,Brooklyn,07,4286.2,4.4,,,,,,3
1992 / 02,Brooklyn,07,3315.2,,,,,,,3
1998 / 02,Brooklyn,07,2836.9,330.9,330.0,,,,,3
1999 / 02,Brooklyn,07,2595.5,350.2,352.2,,,,,3
2001 / 11,Brooklyn,07,3215.8,22.4,524.1,,,42.7,,3
2000 / 09,Brooklyn,07,3212.4,479.1,513.1,,,,,3
2002 / 05,Brooklyn,07,3500.0,9.9,524.0,,,,,3
2012 / 10,Brooklyn,07,3287.2,387.9,285.8,,,,,3
2012 / 04,Brooklyn,07,3129.2,390.2,280.4,,,,,3
2010 / 12,Brooklyn,07,2514.9,367.6,275.5,,,,,3
1997 / 12,Brooklyn,07,3364.4,441.0,380.1,,,,,3
1993 / 11,Brooklyn,07,3178.7,307.1,266.9,,,,,3
2011 / 11,Brooklyn,07,3465.7,407.7,288.1,,,,,3
2007 / 03,Brooklyn,07,3208.5,485.4,365.7,,,,,3
2009 / 11,Brooklyn,07,3211.7,399.6,302.8,,,,,3
2007 / 09,Brooklyn,07,3310.6,490.4,346.9,,,,,3
2006 / 07,Brooklyn,07,3614.5,497.9,425.2,,,,,3
2005 / 08,Brooklyn,07,3787.8,489.4,472.4,,,,,3
1992 / 10,Brooklyn,07,3816.2,,,,,,,3
1997 / 04,Brooklyn,07,3573.2,266.7,286.6,,,,,3
2006 / 01,Brooklyn,07,3365.5,559.1,430.4,,,,11.4,3
